Key,Reviewed By,Human Key,Year,Author,Title,Publication Title,DOI,lat_min,lat_max,lon_min,lon_max,Area,Country,Geographic Notes,Data Type,Type of Study,Category,Relevant,Study Description,Scientific Notes,Notes of technical interest,DatasetKey,Dataset Number,Type,Archive Location,Freely Available?,Archive Name,"Survey Name, Program/mission, Company",Link archive,Acquisition Start Year,Acquisition End Year,Camera Calibration,Flight Height [m],Height reference,GSD [m],Scale,Scanner resolution,Scanner resolution units,No. Images,Satellite type,Camera type,Original Media,Dataset Notes,new.accuracy,Method,Software,Version,GCPs,Fiducial Marks,Pre-processing,Simplified Pre-processing Note,Geometric Pre-processing,Radiometric Pre-processing,geometric_radiometric_both,Pre-processing Note,Workflow Note,Related paper,Output,Orthophoto resolution [m],DEM resolution [m],Output Notes,Accuracy Key,Ground control source XY,Ground control source Z,Ground control source group,Ground control accuracy [m] X,Ground control accuracy [m] Y,Ground control accuracy [m] Z,Ground control accuracy [m] XY,Ground control accuracy [m] XYZ,Ground control accuracy [m] avg,No. GCPs,No. GCPs simplified,Residuals to GCPs [m] X,Residuals to GCPs [m] Y,Residuals to GCPs [m] Z,Residuals to GCPs [m] XY,Residuals to GCPs [m] XYZ,Residuals to GCPs [m] avg,No. CPs,Residuals to CPs [m] X,Residuals to CPs [m] Y,Residuals to CPs [m] Z,Residuals to CPs [m] XY,Residuals to CPs [m] XYZ,Residuals to CPs [m] avg,Comparison data,Comparison data simplified,Source comparison data,Comparison source group,Accuracy comparison data [m] X,Accuracy comparison data [m] Y,Accuracy comparison data [m] Z,Accuracy comparison data [m] XY,Accuracy comparison data [m] XYZ,Accuracy comparison [m] avg,Residuals to comparison [m] X,Residuals to comparison [m] Y,Residuals to comparison [m] Z,Residuals to comparison [m] XY,Residuals to comparison [m] XYZ,Residuals to comparison [m] avg,Comparison Metric,Post-Processing,Notes,Accuracy comparison data [m] avg
697IL8A8,Melanie,"Aguilar Torres et al. 2010, Anales de ingeniería gráfica (697IL8A8)",2010,Aguilar Torres et al.,Self-calibration methods for using historical aerial photographs with photogrammetric purposes,Anales de ingeniería gráfica,NA,36.297,38.606,-7.491,-1.638,160.0,Spain,"""flight ... covering an area of around 160 km2 in Almeria, Spain"" ... could be same data set as Aguliar et al., 2012 (2) thus same coordinates used from this entry",Aerial,Processing,Methodology,yes,Check influence of 6 different self-calibration methods using 24/12 GCPs,NA,NA,697IL8A8.1,1.0,Aerial,Spain,unclear,NA,NA,NA,2001.0,2001.0,given,NA,NA,NA,1:5000,20.0,μm,2.0,NA,NA,NA,"photogrammetric flight, 15.05.2021, 60/25 Overlap, camera: RMK TOP 15, 153.33 mm wide-angle focal length, Film: AGFA AVI-PHOT H100, calibration data supplied, scanned with Vexcel UltraScan 5000 (20µm/1270dpi)",yes,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,NA,yes,yes,not specified,NA,NA,NA,NA,NA,"6 tested workflows, only the best result (Ebner Orthogonal + only focal length) included in speadsheet",NA,3D (point cloud/DEM),NA,2.0,DEM (gridded) interpolation with Multiquacric Radial Basis Function to fill sampling gaps in DEMs,697IL8A8.1.1,dGPS,dGPS,point-based,NA,NA,NA,NA,0.15,0.15,24,24.0,NA,NA,NA,NA,NA,NA,63,0.0774,0.103,0.1244,NA,NA,0.179,CPs,CPs,dGPS,point-based,NA,NA,NA,NA,0.15,NA,0.0774,0.103,0.1244,NA,NA,0.179,RMSE,NA,NA,0.15
697IL8A8,Melanie,"Aguilar Torres et al. 2010, Anales de ingeniería gráfica (697IL8A8)",2010,Aguilar Torres et al.,Self-calibration methods for using historical aerial photographs with photogrammetric purposes,Anales de ingeniería gráfica,NA,36.297,38.606,-7.491,-1.638,160.0,Spain,"""flight ... covering an area of around 160 km2 in Almeria, Spain"" ... could be same data set as Aguliar et al., 2012 (2) thus same coordinates used from this entry",Aerial,Processing,Methodology,yes,Check influence of 6 different self-calibration methods using 24/12 GCPs,NA,NA,697IL8A8.1,1.0,Aerial,Spain,unclear,NA,NA,NA,2001.0,2001.0,given,NA,NA,NA,1:5000,20.0,μm,2.0,NA,NA,NA,"photogrammetric flight, 15.05.2021, 60/25 Overlap, camera: RMK TOP 15, 153.33 mm wide-angle focal length, Film: AGFA AVI-PHOT H100, calibration data supplied, scanned with Vexcel UltraScan 5000 (20µm/1270dpi)",yes,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,NA,yes,yes,not specified,NA,NA,NA,NA,NA,"6 tested workflows, only the best result (Ebner Orthogonal + only focal length) included in speadsheet",NA,3D (point cloud/DEM),NA,2.0,DEM (gridded) interpolation with Multiquacric Radial Basis Function to fill sampling gaps in DEMs,697IL8A8.1.2,dGPS,dGPS,point-based,NA,NA,NA,NA,0.15,0.15,12,12.0,NA,NA,NA,NA,NA,NA,63,0.0824,0.1092,0.1408,NA,NA,0.196,CPs,CPs,dGPS,point-based,NA,NA,NA,NA,0.15,NA,0.0824,0.1092,0.1408,NA,NA,0.196,RMSE,NA,NA,0.15
HHMD583W,Melanie,"Aguilar et al. 2012, IEEE Geoscience and Remote Sensing Letters (HHMD583W)",2012,Aguilar et al.,A New Two-Step Robust Surface Matching Approach for Three-Dimensional Georeferencing of Historical Digital Elevation Models,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2011.2175899,36.297,38.606,-7.491,-1.638,NA,Spain,"""whole of Analusia region"" (2001 dataset), coordinates of BBox around Andalusia: 38.606, -7.491 to 36.297, -1.638",Aerial,Processing,Methodology,yes,DEM generation and co-registration (new method for latter),NA,NA,HHMD583W.1,1.0,Aerial,Spain,unclear,NA,NA,NA,1977.0,1977.0,not specified,NA,NA,0.3,1:18000,15.0,μm,2.0,NA,NA,NA,focal distance of 152.77 mm,yes,Photogrammetric,Z/I Imaging: ISAE,4,not specified,not specified,not specified,NA,NA,NA,NA,NA,NA,NA,3D (point cloud/DEM),NA,10.0,DEM (gridded),HHMD583W.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIDAR DEM,DEM,NA,area-based,NA,NA,0.11,NA,NA,NA,NA,NA,1.09,NA,NA,1.888,Standard Deviation,SRIM + RSM,Shaded-Relief Image Matching (SRIM) ,0.191
HHMD583W,Melanie,"Aguilar et al. 2012, IEEE Geoscience and Remote Sensing Letters (HHMD583W)",2012,Aguilar et al.,A New Two-Step Robust Surface Matching Approach for Three-Dimensional Georeferencing of Historical Digital Elevation Models,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2011.2175899,36.803,36.889,-2.495,-2.346,NA,Spain,"""heavily developed coastal area of Almeria (southeast Spain)"" (1977 dataset); coordinates of BBox around Almeria: 36.889, -2.495 to 36.803, -2.346",Aerial,Processing,Methodology,yes,DEM generation and co-registration (new method for latter),NA,NA,HHMD583W.1,1.0,Aerial,Spain,unclear,NA,NA,NA,1977.0,1977.0,not specified,NA,NA,0.3,1:18000,15.0,μm,2.0,NA,NA,NA,focal distance of 152.77 mm,yes,Photogrammetric,Z/I Imaging: ISAE,4,not specified,not specified,not specified,NA,NA,NA,NA,NA,NA,NA,3D (point cloud/DEM),NA,10.0,DEM (gridded),HHMD583W.1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIDAR DEM,DEM,NA,area-based,NA,NA,0.11,NA,NA,NA,NA,NA,1.95,NA,NA,3.377,Standard Deviation,SRIM + RSM,Shaded-Relief Image Matching (SRIM) ,0.191
HHMD583W,Melanie,"Aguilar et al. 2012, IEEE Geoscience and Remote Sensing Letters (HHMD583W)",2012,Aguilar et al.,A New Two-Step Robust Surface Matching Approach for Three-Dimensional Georeferencing of Historical Digital Elevation Models,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2011.2175899,36.297,38.606,-7.491,-1.638,NA,Spain,"""whole of Analusia region"" (2001 dataset), coordinates of BBox around Andalusia: 38.606, -7.491 to 36.297, -1.638",Aerial,Processing,Methodology,yes,DEM generation and co-registration (new method for latter),NA,NA,HHMD583W.1,1.0,Aerial,Spain,unclear,NA,NA,NA,1977.0,1977.0,not specified,NA,NA,0.3,1:18000,15.0,μm,2.0,NA,NA,NA,focal distance of 152.77 mm,yes,Photogrammetric,Z/I Imaging: ISAE,4,not specified,not specified,not specified,NA,NA,NA,NA,NA,NA,NA,3D (point cloud/DEM),NA,10.0,DEM (gridded),HHMD583W.1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIDAR DEM,DEM,NA,area-based,NA,NA,0.11,NA,NA,NA,NA,NA,1.95,NA,NA,3.377,Standard Deviation,SRIM + RSM,Shaded-Relief Image Matching (SRIM) ,0.191
HHMD583W,Melanie,"Aguilar et al. 2012, IEEE Geoscience and Remote Sensing Letters (HHMD583W)",2012,Aguilar et al.,A New Two-Step Robust Surface Matching Approach for Three-Dimensional Georeferencing of Historical Digital Elevation Models,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2011.2175899,36.803,36.889,-2.495,-2.346,NA,Spain,"""heavily developed coastal area of Almeria (southeast Spain)"" (1977 dataset); coordinates of BBox around Almeria: 36.889, -2.495 to 36.803, -2.346",Aerial,Processing,Methodology,yes,DEM generation and co-registration (new method for latter),NA,NA,HHMD583W.2,2.0,Aerial,Spain,unclear,NA,NA,NA,2001.0,2001.0,not specified,NA,NA,NA,1:20000,NA,NA,NA,NA,NA,NA,photogrammetric flight in whole Andalusia by Spanish Gov,yes,Photogrammetric,NA,NA,not specified,not specified,not specified,NA,NA,NA,NA,NA,NA,NA,3D (point cloud/DEM),NA,10.0,DEM (gridded),HHMD583W.2.1,dGPS,dGPS,point-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,1.03,NA,NA,1.784,LIDAR DEM,DEM,NA,area-based,NA,NA,0.11,NA,NA,NA,NA,NA,0.93,NA,NA,1.611,Standard Deviation,NA,NA,0.191
HHMD583W,Melanie,"Aguilar et al. 2012, IEEE Geoscience and Remote Sensing Letters (HHMD583W)",2012,Aguilar et al.,A New Two-Step Robust Surface Matching Approach for Three-Dimensional Georeferencing of Historical Digital Elevation Models,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2011.2175899,36.297,38.606,-7.491,-1.638,NA,Spain,"""whole of Analusia region"" (2001 dataset), coordinates of BBox around Andalusia: 38.606, -7.491 to 36.297, -1.638",Aerial,Processing,Methodology,yes,DEM generation and co-registration (new method for latter),NA,NA,HHMD583W.2,2.0,Aerial,Spain,unclear,NA,NA,NA,2001.0,2001.0,not specified,NA,NA,NA,1:20000,NA,NA,NA,NA,NA,NA,photogrammetric flight in whole Andalusia by Spanish Gov,yes,Photogrammetric,NA,NA,not specified,not specified,not specified,NA,NA,NA,NA,NA,NA,NA,3D (point cloud/DEM),NA,10.0,DEM (gridded),HHMD583W.2.1,dGPS,dGPS,point-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,1.03,NA,NA,1.784,LIDAR DEM,DEM,NA,area-based,NA,NA,0.11,NA,NA,NA,NA,NA,0.93,NA,NA,1.611,Standard Deviation,NA,NA,0.191
HHMD583W,Melanie,"Aguilar et al. 2012, IEEE Geoscience and Remote Sensing Letters (HHMD583W)",2012,Aguilar et al.,A New Two-Step Robust Surface Matching Approach for Three-Dimensional Georeferencing of Historical Digital Elevation Models,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2011.2175899,36.803,36.889,-2.495,-2.346,NA,Spain,"""heavily developed coastal area of Almeria (southeast Spain)"" (1977 dataset); coordinates of BBox around Almeria: 36.889, -2.495 to 36.803, -2.346",Aerial,Processing,Methodology,yes,DEM generation and co-registration (new method for latter),NA,NA,HHMD583W.1,1.0,Aerial,Spain,unclear,NA,NA,NA,1977.0,1977.0,not specified,NA,NA,0.3,1:18000,15.0,μm,2.0,NA,NA,NA,focal distance of 152.77 mm,yes,Photogrammetric,Z/I Imaging: ISAE,4,not specified,not specified,not specified,NA,NA,NA,NA,NA,NA,NA,3D (point cloud/DEM),NA,10.0,DEM (gridded),HHMD583W.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIDAR DEM,DEM,NA,area-based,NA,NA,0.11,NA,NA,NA,NA,NA,1.09,NA,NA,1.888,Standard Deviation,SRIM + RSM,Shaded-Relief Image Matching (SRIM) ,0.191
Q3DHRVLE,Livia,"Aguilar et al. 2013, The Photogrammetric Record (Q3DHRVLE)",2013,Aguilar et al.,Accuracy Assessment of Commercial Self-Calibrating Bundle Adjustment Routines Applied to Archival Aerial Photography,The Photogrammetric Record,10.1111/j.1477-9730.2012.00704.x,37.1772,37.1941,1.823,1.81,9.0,Spain,"Almería (Spain), coastal fringe, the areas is ~11 km long and 775m wide",Aerial,Processing,Methodology,yes,Accuracy assessment of self calibraiton of bundle adjustment and Coastal areas application,NA,NA,Q3DHRVLE.1,1.0,Aerial,Spain,unclear,Network of Environmental Information of Andalusia (REDIAM),American flight,NA,1956.0,1956.0,partial,5650.0,NA,0.7,1:33000,21.0,μm,4.0,NA,NA,NA,camera format 230x230. 60% forward overlap and 30% lateral. photogrammetric scanner. principal distance (153.01 mm),yes,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9.1,yes,yes,yes,"rotation, pp image center, fiducial detection (manually in CAD)","fiducial detection, pp to center, rotation",NA,geometric,"principal point set to 0, image coordinates of the fiducial marks measured in CAD after rotation",Five self-calibrating bundle adjustment models were tested using a variable number of GCPs,NA,3D (point cloud/DEM),NA,NA,NA,Q3DHRVLE.1.3,dGPS,dGPS,point-based,NA,NA,NA,NA,NA,NA,27,27.0,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,CPs,CPs,dGPS,point-based,0.0923,0.0738,0.1173,NA,NA,NA,NA,NA,1.45,1.266,NA,1.925,RMSE,NA,"accuracy computed as weighted average of x, y, z accuracy of dGPS + photo points from 2009 survey",0.167
Q3DHRVLE,Livia,"Aguilar et al. 2013, The Photogrammetric Record (Q3DHRVLE)",2013,Aguilar et al.,Accuracy Assessment of Commercial Self-Calibrating Bundle Adjustment Routines Applied to Archival Aerial Photography,The Photogrammetric Record,10.1111/j.1477-9730.2012.00704.x,37.1772,37.1941,1.823,1.81,9.0,Spain,"Almería (Spain), coastal fringe, the areas is ~11 km long and 775m wide",Aerial,Processing,Methodology,yes,Accuracy assessment of self calibraiton of bundle adjustment and Coastal areas application,NA,NA,Q3DHRVLE.1,1.0,Aerial,Spain,unclear,Network of Environmental Information of Andalusia (REDIAM),American flight,NA,1956.0,1956.0,partial,5650.0,NA,0.7,1:33000,21.0,μm,4.0,NA,NA,NA,camera format 230x230. 60% forward overlap and 30% lateral. photogrammetric scanner. principal distance (153.01 mm),yes,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9.1,yes,yes,yes,"rotation, pp image center, fiducial detection (manually in CAD)","fiducial detection, pp to center, rotation",NA,geometric,"principal point set to 0, image coordinates of the fiducial marks measured in CAD after rotation",Five self-calibrating bundle adjustment models were tested using a variable number of GCPs,NA,3D (point cloud/DEM),NA,NA,NA,Q3DHRVLE.1.5,dGPS,dGPS,point-based,NA,NA,NA,NA,NA,NA,9,9.0,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,CPs,CPs,dGPS,point-based,0.0923,0.0738,0.1173,NA,NA,NA,NA,NA,1.843,1.579,NA,2.427,RMSE,NA,"accuracy computed as weighted average of x, y, z accuracy of dGPS + photo points from 2009 survey",0.167
