year count data_type
2001 [1] Satellite
2003 [1] Aerial
2004 [2] Satellite
2006 [2] Aerial
2007 [12] Aerial
2008 [5] Aerial
2010 [2] Aerial
2011 [4] Aerial
2012 [9] Aerial
2012 [4] Mix
2013 [2] Aerial
2013 [2] Mix
2014 [4] Aerial
2015 [18] Aerial
2015 [1] Satellite
2016 [11] Aerial
2016 [3] Satellite
2017 [14] Aerial
2018 [25] Aerial
2018 [3] Satellite
2019 [13] Aerial
2019 [2] Mix
2020 [8] Aerial
2020 [1] Mix
2020 [1] Satellite
2021 [9] Aerial
2021 [2] Mix
2021 [1] Satellite
2022 [10] Aerial
2022 [2] Satellite
2023 [20] Aerial
2023 [1] Mix
2023 [1] Satellite
